file,phenol_5_6_7,carbox_acid,benzoic_acid,thiol_thiophenol,aliphatic_alcohol,sec_amine_neg,heteorcyle_phen,alinine,primary_amine,tert_amine,sec_amine_sec_amine_ring,ring,aromatic,charge,hybridization,delta_tpsa,conjugate_acid,conjugate_base,exp_pKa (pKa)
508,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,c1cc(ccc1C[C@@H](C(=O)[O-])N2CCC(CC2)C[NH+:29]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl)C#N,c1cc(ccc1C[C@@H](C(=O)[O-])N2CCC(CC2)C[N:29]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl)C#N,8.9
509,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,c1cc(ccc1C[C@@H](C(=O)[O-])[NH+:30]2CCC(CC2)CN3CCC(CC3)Oc4ccc(c(c4)Cl)Cl)C#N,c1cc(ccc1C[C@@H](C(=O)[O-])[N:30]2CCC(CC2)CN3CCC(CC3)Oc4ccc(c(c4)Cl)Cl)C#N,8.9
510,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,Cc1ccccc1C[C@@H](C(=O)O)N2CCC(CC2)C[NH+:28]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,Cc1ccccc1C[C@@H](C(=O)O)N2CCC(CC2)C[N:28]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,9.2
511,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,Cc1ccccc1C[C@@H](C(=O)O)[NH+:29]2CCC(CC2)CN3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,Cc1ccccc1C[C@@H](C(=O)O)[N:29]2CCC(CC2)CN3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,9.2
513,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,Cc1ccccc1C[C@@H](C(=O)[O-])[NH+:29]2CCC(CC2)CN3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,Cc1ccccc1C[C@@H](C(=O)[O-])[N:29]2CCC(CC2)CN3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,9.2
514,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,c1ccc(cc1)[C@@H](C(=O)O)N2CCC(CC2)[NH+:25]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,c1ccc(cc1)[C@@H](C(=O)O)N2CCC(CC2)[N:25]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,9.1
515,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,c1ccc(cc1)[C@@H](C(=O)O)[NH+:26]2CCC(CC2)N3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,c1ccc(cc1)[C@@H](C(=O)O)[N:26]2CCC(CC2)N3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,9.1
516,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,c1ccc(cc1)[C@@H](C(=O)[O-])N2CCC(CC2)[NH+:25]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,c1ccc(cc1)[C@@H](C(=O)[O-])N2CCC(CC2)[N:25]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,9.1
518,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1ccc(cc1)[C@@H](C(=O)[OH:29])N2CCC(CC2)CN3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,c1ccc(cc1)[C@@H](C(=O)[O-:29])N2CCC(CC2)CN3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,3
519,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,c1ccc(cc1)[C@@H](C(=O)O)N2CCC(CC2)C[NH+:26]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,c1ccc(cc1)[C@@H](C(=O)O)N2CCC(CC2)C[N:26]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,9.6
520,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,c1ccc(cc1)[C@@H](C(=O)O)[NH+:27]2CCC(CC2)CN3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,c1ccc(cc1)[C@@H](C(=O)O)[N:27]2CCC(CC2)CN3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,9.6
521,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,c1ccc(cc1)[C@@H](C(=O)[O-])N2CCC(CC2)C[NH+:26]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,c1ccc(cc1)[C@@H](C(=O)[O-])N2CCC(CC2)C[N:26]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,9.6
522,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,c1ccc(cc1)[C@@H](C(=O)[O-])[NH+:27]2CCC(CC2)CN3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,c1ccc(cc1)[C@@H](C(=O)[O-])[N:27]2CCC(CC2)CN3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,9.6
523,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1ccc(cc1)[C@@H](C(=O)[OH:29])N2CCC(CC2)C[NH+]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,c1ccc(cc1)[C@@H](C(=O)[O-:29])N2CCC(CC2)C[NH+]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,3
524,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,c1ccc(cc1)C(=O)[NH:26]S(=O)(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,c1ccc(cc1)C(=O)[N-:26]S(=O)(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,4.3
525,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,c1ccc(cc1)C(=O)NS(=O)(=O)N2CCC(CC2)[NH+:24]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,c1ccc(cc1)C(=O)NS(=O)(=O)N2CCC(CC2)[N:24]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,8.1
526,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,c1ccc(cc1)C(=O)[N-]S(=O)(=O)N2CCC(CC2)[NH+:24]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,c1ccc(cc1)C(=O)[N-]S(=O)(=O)N2CCC(CC2)[N:24]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,8.1
527,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,c1ccc(cc1)C(=O)[NH:26]S(=O)(=O)N2CCC(CC2)[NH+]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,c1ccc(cc1)C(=O)[N-:26]S(=O)(=O)N2CCC(CC2)[NH+]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,4.3
528,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,COc1cccc(c1)C(=O)NCC[NH+:22]2CCC(CC2)Oc3ccc(c(c3)Cl)Cl,COc1cccc(c1)C(=O)NCC[N:22]2CCC(CC2)Oc3ccc(c(c3)Cl)Cl,7.4
531,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,c1cc(ccc1F)S(=O)(=O)[N-]C(=O)N2CCC(CC2)[NH+:25]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,c1cc(ccc1F)S(=O)(=O)[N-]C(=O)N2CCC(CC2)[N:25]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,8.45
532,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,c1cc(ccc1F)S(=O)(=O)[NH:26]C(=O)N2CCC(CC2)[NH+]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,c1cc(ccc1F)S(=O)(=O)[N-:26]C(=O)N2CCC(CC2)[NH+]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,3
533,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,COc1ccc(cc1)S(=O)(=O)[NH:27]C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,COc1ccc(cc1)S(=O)(=O)[N-:27]C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,3.6
534,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,COc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)[NH+:26]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,COc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)[N:26]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,8.3
535,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,COc1ccc(cc1)S(=O)(=O)[N-]C(=O)N2CCC(CC2)[NH+:26]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,COc1ccc(cc1)S(=O)(=O)[N-]C(=O)N2CCC(CC2)[N:26]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,8.3
537,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,CN(C)c1ccc(cc1)S(=O)(=O)[NH:28]C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,CN(C)c1ccc(cc1)S(=O)(=O)[N-:28]C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,6.1
538,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,CN(C)c1ccc(cc1)S(=O)(=O)[NH:28]C(=O)N2CCC(CC2)[NH+]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,CN(C)c1ccc(cc1)S(=O)(=O)[N-:28]C(=O)N2CCC(CC2)[NH+]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,6.1
539,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,Cc1ccccc1S(=O)(=O)[NH:27]C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,Cc1ccccc1S(=O)(=O)[N-:27]C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,3.4
540,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,Cc1ccccc1S(=O)(=O)[NH:27]C(=O)N2CCC(CC2)[NH+]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,Cc1ccccc1S(=O)(=O)[N-:27]C(=O)N2CCC(CC2)[NH+]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,3.4
541,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,CN(C)c1ccccc1S(=O)(=O)[NH:28]C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,CN(C)c1ccccc1S(=O)(=O)[N-:28]C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,6.6
